Быстрая сортировка, Отсортированный, 20000, 3.6678620 сек
Быстрая сортировка, Отсортированный, 30000, 8.2483525 сек
Быстрая сортировка, Отсортированный, 40000, 14.6962378 сек
Быстрая сортировка, Отсортированный, 50000, 22.9162344 сек
Быстрая сортировка, Отсортированный, 60000, 33.0102345 сек
Быстрая сортировка, Отсортированный, 70000, 42.1831245 сек
Быстрая сортировка, Отсортированный, 80000, 58.6188235 сек
Быстрая сортировка, Отсортированный, 90000, 74.3023343 сек
Быстрая сортировка, Отсортированный, 100000, 92.5345042 сек
Пирамидальная сортировка, Случайный, 1000, 0.0006116 сек
Пирамидальная сортировка, Случайный, 10000, 0.00687 сек
Пирамидальная сортировка, Случайный, 20000, 0.0113006 сек
Пирамидальная сортировка, Случайный, 30000, 0.0173566 сек
Пирамидальная сортировка, Случайный, 40000, 0.0239524 сек
Пирамидальная сортировка, Случайный, 50000, 0.0308126 сек
Пирамидальная сортировка, Случайный, 60000, 0.0389246 сек
Пирамидальная сортировка, Случайный, 70000, 0.0437258 сек
Пирамидальная сортировка, Случайный, 80000, 0.0504198 сек
Пирамидальная сортировка, Случайный, 90000, 0.0615732 сек
Пирамидальная сортировка, Случайный, 100000, 0.0661283 сек
Пирамидальная сортировка, Почти отсортированный, 1000, 0.0003554 сек
Пирамидальная сортировка, Почти отсортированный, 10000, 0.006156 сек
Пирамидальная сортировка, Почти отсортированный, 20000, 0.012266 сек
Пирамидальная сортировка, Почти отсортированный, 30000, 0.0190271 сек
Пирамидальная сортировка, Почти отсортированный, 40000, 0.0265414 сек
Пирамидальная сортировка, Почти отсортированный, 50000, 0.0305073 сек
Пирамидальная сортировка, Почти отсортированный, 60000, 0.0375547 сек
Пирамидальная сортировка, Почти отсортированный, 70000, 0.0435063 сек
Пирамидальная сортировка, Почти отсортированный, 80000, 0.052752 сек
Пирамидальная сортировка, Почти отсортированный, 90000, 0.055715 сек
Пирамидальная сортировка, Почти отсортированный, 100000, 0.0635182 сек
Пирамидальная сортировка, Отсортированный в обратном порядке, 1000, 0.0003267 сек
Пирамидальная сортировка, Отсортированный в обратном порядке, 10000, 0.0046145 сек
Пирамидальная сортировка, Отсортированный в обратном порядке, 20000, 0.0102346 сек
Пирамидальная сортировка, Отсортированный в обратном порядке, 30000, 0.015952 сек
Пирамидальная сортировка, Отсортированный в обратном порядке, 40000, 0.0216851 сек
Пирамидальная сортировка, Отсортированный в обратном порядке, 50000, 0.0277615 сек
Пирамидальная сортировка, Отсортированный в обратном порядке, 60000, 0.0345432 сек
Пирамидальная сортировка, Отсортированный в обратном порядке, 70000, 0.0402665 сек
Пирамидальная сортировка, Отсортированный в обратном порядке, 80000, 0.0465898 сек
Пирамидальная сортировка, Отсортированный в обратном порядке, 90000, 0.0532745 сек
